titulo,autor,editora,categoria,paginas,vendas
"A sutil arte de ligar o foda-se","Mark Manson","Intrínseca","Autoajuda","224","386.555"
"O milagre da manhã","Hal Elrod","BestSeller","Autoajuda","196","257.451"
"Seja foda!","Caio Carneiro","Buzz","Negócios","208","192.172"
"Do mil ao milhão","Thiago Nigro","HarperCollins","Negócios","192","155.363"
"O poder da autorresponsabilidade","Paulo Vieira","Gente","Negócios","160","149.022"
"Me poupe!","Nathalia Arcuri","Sextante","Negócios","176","126.083"
"O poder oculto","Padre Reginaldo Manzotti","Petra","Autoajuda","176","125.721"
"Mais esperto que o diabo","Napoleon Hill","Citadel","Autoajuda","200","122.941"
"O poder da ação","Paulo Vieira","Gente","Negócios","256","117.315"
"Os segredos da mente milionária","T. Harv Eker","Sextante","Negócios","176","105.719"
"Sapiens","Yuval Noah Harari","L&PM","Não ficção","464","99.026"
"Brincando com Luccas Neto","Luccas Neto","Pixel","Infantojuvenil","64","98.303"
"O poder do hábito","Charles Duhigg","Objetiva","Autoajuda","408","97.503"
"As aventuras na Netoland com Luccas Neto","Luccas Neto","Pixel","Infantojuvenil","64","97.491"
"A garota do lago","Charlie Donlea","Faro Editorial","Ficção","296","94.459"
"O diário perdido de Gravity Falls","Alex Hirsch","Universo dos Livros","Infantojuvenil","288","91.348"
"Mindset","Carol Dweck","Objetiva","Não ficção","328","89.523"
"Minha história","Michelle Obama","Objetiva","Não ficção","448","85.199"
"Pai rico, pai pobre - Edição de 20 anos","Robert T. Kiyosak","Alta Books Editora","Negócios","336","82.142"
"F*deu geral","Mark Manson","Intrínseca","Autoajuda","288","75.297"
