titulo,autor,editora,categoria,paginas,vendas
"Mais esperto que o diabo","Napoleon Hill","Citadel","Autoajuda","200","109.629"
"O poder da autorresponsabilidade","Paulo Vieira","Gente","Negócios","160","87.451"
"Mindset milionário","José Roberto Marques","Buzz","Negócios","208","85.515"
"Torto arado","Itamar Vieira Junior","Todavia","Ficção","264","74.090"
"Mulheres que correm com os lobos (capa dura)","Clarissa Pinkola Estes","Rocco","Não ficção","576","73.729"
"Do mil ao milhão","Thiago Nigro","HarperCollins","Negócios","192","59.033"
"Vermelho, branco e sangue azul","Casey McQuiston","Seguinte","Infantojuvenil","392","56.964"
"A garota do lago","Charlie Donlea","Faro Editorial","Ficção","296","56.101"
"Pai rico, pai pobre - Edição de 20 anos","Robert T. Kiyosak","Alta Books Editora","Negócios","336","52.935"
"Mentirosos","E. Lockhart","Seguinte","Infantojuvenil","272","50.223"
"Os sete maridos de Evelyn Hugo","Taylor Jenkins Reid","Paralela","Ficção","360","45.943"
"Os segredos da mente milionária","T. Harv Eker","Sextante","Negócios","176","43.819"
"A coragem de ser imperfeito","Brené Brown","Sextante","Autoajuda","208","43.740"
"A sutil arte de ligar o foda-se","Mark Manson","Intrínseca","Autoajuda","224","42.052"
"O poder do hábito","Charles Duhigg","Objetiva","Autoajuda","408","41.884"
"O homem mais rico da Babilônia","George S. Clason","HarperCollins","Negócios","160","40.608"
"Box Harry Potter","J. K. Rowling","Rocco","Infantojuvenil","3.096","40.531"
"Minutos de sabedoria","C. Torres Pastorino","Vozes","Autoajuda","288","39.836"
"O milagre da manhã","Hal Elrod","BestSeller","Autoajuda","196","39.648"
"Amor & gelato","Jenna Evans Welch","Intrínseca","Ficção","320","38.648"
